   k   misaligned       stride  with_intent      texture
   1      17.4658     148.4394      27.1146     141.4700
   2      20.4178     108.8186      29.5008     107.8782
   3      19.1067      86.4591      27.2697      83.7253
   4      20.5137      70.0732      25.5576      69.9237
   5      18.6380      58.3710      23.7170      58.8426
   6      20.3797      49.9322      21.7673      51.8481
   7      19.2033      43.5817      21.7890      45.8374
   8      20.4880      38.6643      20.1525      40.8006
   9      19.1011      37.5349      19.3850      39.6587
  10      20.5394      36.5256      20.2616      38.9805
  11      20.9196      35.2249      20.0615      38.2580
  12      19.7904      34.1067      20.0339      37.6319
  13      20.5297      33.4282      19.9638      36.9425
  14      19.1991      32.4355      19.7576      36.3988
  15      20.6299      31.6982      19.6466      36.1379
  16      19.1165      31.0413      19.3908      35.6659
  17      20.4784      30.3478      19.2300      34.7073
  18      19.0844      29.5607      19.2258      33.8994
  19      20.6999      28.8896      18.3690      33.6211
  20      19.0706      28.0128      18.9383      33.0865
  21      20.7968      27.2839      11.0497      32.4878
  22      19.1179      26.3065      17.2010      32.0195
  23      20.8797      25.5476      18.0964      31.8020
  24      19.4080      24.5868      17.9859      30.4182
  25      20.6185      23.9008      17.5101      30.6171
  26      20.3512      23.1229      16.4240      29.9764
  27      20.8216      22.2779      17.5523      29.7959
  28      19.4628      21.4661      17.2781      29.1692
  29      20.7114      20.9063      17.3743      29.0046
  30      19.4253      20.0523      17.1560      28.4383
  31      20.7327      19.4152      17.0711      27.8551
  32      20.7573      19.4990      17.0522      27.6407
