   k   misaligned       stride  with_intent      texture
   1      21.0490     177.9660      31.8832      22.2760
   2      23.4812     129.4538      35.2249      22.2760
   3      21.7439     102.5201      32.3236      22.2760
   4      23.7967      82.9307      29.3357      22.2760
   5      24.3583      68.3557      27.6786      22.2760
   6      22.0771      59.0814      26.8013      22.2760
   7      24.1141      52.3764      25.2426      22.2760
   8      22.3348      47.0045      24.2457      22.2760
   9      24.0301      46.1521      24.0565      22.2760
  10      24.4014      45.6936      24.1942      22.2760
  11      22.2156      45.7015      24.0389      22.2760
  12      24.2591      44.5975      22.5094      22.2760
  13      14.4695      43.4517      24.3379      22.2760
  14      22.7733      42.3154      24.1052      22.2760
  15      23.0801      40.7689      24.2501      22.2760
  16      24.3447      40.0587      24.4492      22.2760
  17      24.4378      36.8335      22.7063      22.2760
  18      22.3196      35.5257      22.7733      22.2760
  19      24.6585      33.6513      22.5461      22.2760
  20      23.7686      32.2877      22.4592      22.2760
  21      24.6840      30.3829      22.8249      22.2760
  22      24.1229      28.8959      24.4332      22.2760
  23      22.1462      27.7313      24.4196      22.2760
  24      24.3991      26.1412      24.2098      22.2760
  25      23.6549      25.4065      23.9993      22.2760
  26      23.8986      24.3199      23.9773      22.2760
  27      23.6699      23.0598      23.8356      22.2760
  28      22.0419      22.1499      22.1987      22.2760
  29      23.6613      21.4117      22.7714      22.2760
  30      21.8017      20.3876      22.5772      22.2760
  31      23.6998      19.7815      22.4381      22.2760
  32      22.3196      20.5233      22.2760      22.2760
